Trainer,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25
172850393387,0,5256,781819,1080392,1081720,1129370,2143602,,,,,,,,,,,,,,,,,,
194925970229,583693,586252,1317791,1486217,1661768,1825228,2591221,3218219,3776590,3781245,4180211,5670116,6577040,8174565,8182815,9776078,10614888,11976372,12685825,13469802,15872759,15882432,16609064,17293491,18044387
239768176292,0,7970,10992,13844,223150,228497,594659,802375,805960,808423,811229,819654,828199,2619888,4395017,4408458,5327152,5330400,5333331,5347619,7080659,7960847,7969938,7972890,7975490
245775259745,256283,633171,895941,1220957,1514488,1831147,2147073,2476482,2610050,2794336,3030276,3344350,3357362,3664889,3893423,4119704,4514590,4742772,5043807,5321581,5644579,6036728,6039927,6465080,6833116
279212438221,,,,,,,,,,,,,,42792,3327757,5601805,6168933,6170905,8538952,9136989,10121266,11823352,11837843,11837878,11837878
279700850846,0,1010804,1018021,1018021,1018021,1018021,1018021,1018021,1018021,1018021,1018021,1018021,1018021,1018023,1018023,1018023,1018023,1018023,1018023,1018023,1018023,1018023,1018023,1018023,1018023
283520922271,0,0,0,0,0,0,1975842,3934676,3943313,3943313,3943313,3943313,3943313,3943313,3943313,3943314,3943314,3943314,3943314,3943314,3943314,3943314,3943314,3945998,3946008
286957020061,,,,,,,,,,,,612120,1496049,4159638,5165721,6113267,7956961,9681989,9688113,10268811,10270755,10277211,11384423,11388961,11388961
358373483936,4918,4940,1323583,2333079,2981818,3700616,4634079,5097577,5989649,6812732,7309426,8751680,9209628,10768049,12479770,13104002,14428082,15631753,17679968,19058484,19659514,20293418,20965464,21563240,22871524
437939262527,1268515,3058625,5016154,7128000,7610819,8196486,9100675,11057928,11705039,12947949,13486800,17656261,21049102,23622280,25290812,26054140,26085329,26913443,27750131,29299294,30155260,30686350,31475077,32232224,33478921
472781075276,0,1053625,1061148,2226251,3071727,4772515,6817504,8008881,9768756,11476709,12032058,15120058,16878416,18562176,20025325,20728408,22425148,23354101,25010036,25030080,26665649,27627365,27640648,30406822,30446621
505660910600,1190438,4455280,5121977,5126875,5946617,6378746,6381255,6819654,8158658,8997609,10555044,12196239,15409865,19868268,23910387,26703469,30801063,33005387,35386712,38517616,42272948,42288039,42288039,43816675,47385257
507493378991,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
